YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED
2017,12,1,12/1/17,OO,5408,13930,1393004,30977,ORD,10792,1079204,30792,BUF,1405,1356,0,1651,1641,0,0
2017,12,1,12/1/17,OO,5412,13930,1393004,30977,ORD,15096,1509602,35096,SYR,1730,1726,0,2023,2015,0,0
2017,12,1,12/1/17,UA,263,13930,1393004,30977,ORD,12953,1295302,31703,LGA,1700,1658,0,2015,2000,0,0
2017,12,1,12/1/17,UA,303,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1019,1021,2,1600,1555,0,0
2017,12,1,12/1/17,UA,347,11292,1129202,30325,DEN,12953,1295302,31703,LGA,800,830,30,1343,1356,13,0
2017,12,1,12/1/17,UA,405,12953,1295302,31703,LGA,11292,1129202,30325,DEN,1135,1125,0,1407,1426,19,0
2017,12,1,12/1/17,UA,406,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1549,1539,0,2130,2115,0,0
2017,12,1,12/1/17,UA,427,13930,1393004,30977,ORD,12953,1295302,31703,LGA,730,726,0,1040,1039,0,0
2017,12,1,12/1/17,UA,463,12953,1295302,31703,LGA,13930,1393004,30977,ORD,800,755,0,934,923,0,0
2017,12,1,12/1/17,UA,503,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1200,1152,0,1335,1337,2,0
2017,12,1,12/1/17,UA,509,12953,1295302,31703,LGA,11292,1129202,30325,DEN,1829,1821,0,2104,2046,0,0
2017,12,1,12/1/17,UA,509,13930,1393004,30977,ORD,12953,1295302,31703,LGA,1400,1355,0,1718,1706,0,0
2017,12,1,12/1/17,UA,518,14576,1457604,34576,ROC,13930,1393004,30977,ORD,1710,1705,0,1814,1757,0,0
2017,12,1,12/1/17,UA,519,12953,1295302,31703,LGA,13930,1393004,30977,ORD,900,856,0,1041,1025,0,0
2017,12,1,12/1/17,UA,556,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1125,1117,0,1704,1649,0,0
