ORIGIN,DESTINATION
ALB,TPA
HOU,LGA
SDF,LGA
BUF,DTW
BUF,MCO
LGA,SRQ
TPA,HPN
BWI,ISP
MCO,LGA
SYR,FLL
HPN,DTW
ISP,MCO
JFK,BOS
JFK,CLT
CAE,LGA
JFK,DFW
LGA,IND
JFK,MCO
MSP,ALB
DEN,LGA
BUF,LAS
JFK,DAB
JFK,SLC
PBI,LGA
BUF,MDW
ALB,MCO
JFK,ORD
JFK,PSE
LGA,MCI
SYR,MCO
HNL,JFK
SYR,DTW
PHL,LGA
PBI,HPN
SYR,JFK
DFW,LGA
HPN,ATL
LGA,RSW
BGM,DTW
JFK,SFO
JFK,SAN
AUS,JFK
ORD,SYR
CLT,SYR
LGA,GSO
RNO,JFK
ISP,RSW
ROC,JFK
ATL,ROC
JFK,PSP
DTW,ALB
BUF,LAX
FLL,IAG
LGA,MKE
JFK,DEN
FLL,LGA
TPA,JFK
DAL,LGA
LGA,RDU
JFK,RDU
CHS,LGA
MSY,ISP
HOU,JFK
DTW,LGA
ATL,BUF
MSY,JFK
MSP,BUF
ISP,PBI
ALB,CLT
JFK,FLL
ROC,TPA
ORD,LGA
ORF,LGA
CHO,LGA
SWF,MCO
EWR,BUF
BUF,CLT
ATL,LGA
JFK,DCA
LGA,MDW
LGA,ROC
FLL,ISP
BNA,LGA
HPN,MCO
JFK,PHL
SAV,LGA
LGA,SAT
ALB,FLL
PIT,JFK
ORD,BUF
BQN,JFK
PWM,JFK
ATL,SYR
ALB,EWR
JFK,SMF
JFK,JAX
LGA,BUF
ATL,ELM
JFK,OAK
ALB,DEN
DTW,JFK
CLT,LGA
ROC,ORD
MEM,LGA
LGA,GRR
FLL,PBG
BUF,BWI
HPN,RSW
MCO,ROC
LGA,MSN
MSP,LGA
JFK,MSP
RSW,BUF
BUF,FLL
DTW,SWF
JFK,EGE
JFK,LAX
ROC,DTW
JFK,PBI
LGB,JFK
ALB,ORD
MSP,SYR
PHX,JFK
BUF,TPA
LGA,MSY
LGA,STL
BOS,BUF
JFK,RSW
JFK,SJC
IAD,JFK
ALB,BWI
MYR,LGA
LGA,IAH
MIA,LGA
EWR,ROC
LGA,TPA
BUR,JFK
ISP,MIA
LGA,DCA
RIC,LGA
LGA,BOS
EWR,SYR
JFK,BUF
DTW,ITH
JFK,PDX
LGA,BHM
JFK,SEA
LGA,MTJ
LGA,CVG
JFK,SRQ
MIA,JFK
BUF,PHX
ATL,ALB
XNA,LGA
SAT,JFK
BWI,ROC
JFK,SAV
BTV,JFK
JFK,SJU
MIA,BUF
ALB,MDW
CLE,LGA
TYS,LGA
JFK,ABQ
GSP,LGA
PIT,LGA
HPN,FLL
SWF,FLL
ATL,JFK
JFK,CHS
LGA,OMA
JFK,LAS
DTW,ELM
ISP,TPA
JFK,JAC
